"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","NAICS_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000345118","AIRS/AFS","3715700038","AIR MAJOR","327121","PRIMARY","BRICK AND STRUCTURAL CLAY TILE MANUFACTURING."
"110000345118","NC-FITS","1047","STATE MASTER","327121","UNKNOWN","BRICK AND STRUCTURAL CLAY TILE MANUFACTURING."
"110000345127","NC-FITS","4469","STATE MASTER","337129","UNKNOWN","WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING."
"110000345127","TRIS","27028CRWNWBETHE","TRI REPORTER","337129","PRIMARY","WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING."
"110000345127","RCRAINFO","NCD096164629","UNSPECIFIED UNIVERSE","337127","PRIMARY","INSTITUTIONAL FURNITURE MANUFACTURING."
"110000345127","AIRS/AFS","3705900033","AIR MAJOR","337129","PRIMARY","WOOD TELEVISION, RADIO, AND SEWING MACHINE CABINET MANUFACTURING."
"110000345127","EIS","8001811","HAZARDOUS AIR POLLUTANT MAJOR","321999","PRIMARY","ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING."
"110000345136","EIS","8001511","AIR MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345136","RCRAINFO","NCD991277799","UNSPECIFIED UNIVERSE","337121","SECONDARY","UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING."
"110000345136","RCRAINFO","NCD991277799","UNSPECIFIED UNIVERSE","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345136","AIR","NC0000003703000007","AIR MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345136","NC-FITS","2191","STATE MASTER","337122","UNKNOWN","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345136","AIRS/AFS","3705900007","AIR MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345145","RCRAINFO","NCD041414772","SQG","333912","PRIMARY","AIR AND GAS COMPRESSOR MANUFACTURING."
"110000345145","OSHA-OIS","317602761","OSHA ESTABLISHMENT","333912","PRIMARY","AIR AND GAS COMPRESSOR MANUFACTURING."
"110000345145","RCRAINFO","NCD041414772","TSD","333912","PRIMARY","AIR AND GAS COMPRESSOR MANUFACTURING."
"110000345145","EIS","9354911","AIR MINOR","333912","PRIMARY","AIR AND GAS COMPRESSOR MANUFACTURING."
"110000345145","AIR","NC0000003703000012","AIR MINOR","333912","PRIMARY","AIR AND GAS COMPRESSOR MANUFACTURING."
"110000345145","TRIS","27028NGRSL501SA","TRI REPORTER","333912","PRIMARY","AIR AND GAS COMPRESSOR MANUFACTURING."
"110000345145","NC-FITS","949","STATE MASTER","333911","UNKNOWN","PUMP AND PUMPING EQUIPMENT MANUFACTURING."
"110000345145","AIRS/AFS","3705900012","AIR MINOR","333912","PRIMARY","AIR AND GAS COMPRESSOR MANUFACTURING."
"110000345154","EIS","8002111","AIR MINOR","321113","PRIMARY","SAWMILLS."
"110000345154","AIR","NC0000003703000045","AIR MINOR","321113","PRIMARY","SAWMILLS."
"110000345154","TRIS","27028SFRDLRT9BO","TRI REPORTER","321114","PRIMARY","WOOD PRESERVATION."
"110000345154","NC-FITS","4608","STATE MASTER","321114","UNKNOWN","WOOD PRESERVATION."
"110000345154","AIRS/AFS","3705900045","AIR MINOR","321113","PRIMARY","SAWMILLS."
"110000345163","AIRS/AFS","3717100141","AIR MINOR","327112","PRIMARY","VITREOUS CHINA, FINE EARTHENWARE, AND OTHER POTTERY PRODUCT MANUFACTURING."
"110000345163","ICIS","3600152321","ENFORCEMENT/COMPLIANCE ACTIVITY","326140","PRIMARY","POLYSTYRENE FOAM PRODUCT MANUFACTURING."
"110000345163","TRIS","27030LLCLT818MA","TRI REPORTER","326140","PRIMARY","POLYSTYRENE FOAM PRODUCT MANUFACTURING."
"110000345163","NC-FITS","4609","STATE MASTER","327112","UNKNOWN","VITREOUS CHINA, FINE EARTHENWARE, AND OTHER POTTERY PRODUCT MANUFACTURING."
"110000345172","TRIS","27030NRTHC511CA","TRI REPORTER","326150","PRIMARY","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING."
"110000345172","RCRAINFO","NCD003468998","UNSPECIFIED UNIVERSE","326150","PRIMARY","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING."
"110000345172","AIR","NC0000003708600027","AIR SYNTHETIC MINOR","326150","PRIMARY","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING."
"110000345172","EIS","3950211","AIR SYNTHETIC MINOR","32615","PRIMARY","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING"
"110000345172","RMP","100000084785","RMP REPORTER","32615","UNKNOWN","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING"
"110000345172","AIRS/AFS","3717100027","AIR SYNTHETIC MINOR","326150","PRIMARY","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING."
"110000345181","EIS","8029311","AIR SYNTHETIC MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345181","AIR","NC0000003708600077","AIR SYNTHETIC MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345181","RCRAINFO","NCD058830050","UNSPECIFIED UNIVERSE","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345181","AIRS/AFS","3717100077","AIR SYNTHETIC MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345181","NC-FITS","4573","STATE MASTER","337122","UNKNOWN","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345181","TRIS","27030NTNLMPOBOX","TRI REPORTER","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345190","NC-FITS","1071","STATE MASTER","327991","UNKNOWN","CUT STONE AND STONE PRODUCT MANUFACTURING."
"110000345190","RCRAINFO","NCD981932858","SQG","332212","PRIMARY","HAND AND EDGE TOOL MANUFACTURING."
"110000345190","AIRS/AFS","3717100139","AIR MINOR","327991","PRIMARY","CUT STONE AND STONE PRODUCT MANUFACTURING."
"110000345190","TRIS","27030THLSSPOBOX","TRI REPORTER","332213","PRIMARY","SAW BLADE AND HANDSAW MANUFACTURING."
"110000345190","RMP","100000167838","RMP REPORTER","333515","UNKNOWN","CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING."
"110000345190","RMP","100000167838","RMP REPORTER","332212","UNKNOWN","HAND AND EDGE TOOL MANUFACTURING."
"110000345207","NC-FITS","4576","STATE MASTER","335221","UNKNOWN","HOUSEHOLD COOKING APPLIANCE MANUFACTURING."
"110000345207","AIRS/AFS","3717100084","AIR SYNTHETIC MINOR","335221","PRIMARY","HOUSEHOLD COOKING APPLIANCE MANUFACTURING."
"110000345207","TRIS","27030WRVRP561HA","TRI REPORTER","335221","PRIMARY","HOUSEHOLD COOKING APPLIANCE MANUFACTURING."
"110000345207","RCRAINFO","NCD003229358","UNSPECIFIED UNIVERSE","33999","PRIMARY","ALL OTHER MISCELLANEOUS MANUFACTURING"
"110000345216","TRIS","27048STHRN801EA","TRI REPORTER","321999","PRIMARY","ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING."
"110000345216","RCRAINFO","NCD986206845","UNSPECIFIED UNIVERSE","339999","PRIMARY","ALL OTHER MISCELLANEOUS MANUFACTURING."
"110000345225","AIR","NCFCO0003706700745","AIR MAJOR","312221","PRIMARY","CIGARETTE MANUFACTURING."
"110000345225","AIRS/AFS","3706700745","AIR MAJOR","312221","PRIMARY","CIGARETTE MANUFACTURING."
"110000345234","TRIS","27053JPSLSELAST","TRI REPORTER","326299","PRIMARY","ALL OTHER RUBBER PRODUCT MANUFACTURING."
"110000345234","AIR","NC0000003708500009","AIR MINOR","326299","PRIMARY","ALL OTHER RUBBER PRODUCT MANUFACTURING."
"110000345234","RCRAINFO","NCD045183449","OTHER HAZARDOUS WASTE ACTIVITIES","339999","PRIMARY","ALL OTHER MISCELLANEOUS MANUFACTURING."
"110000345234","NC-FITS","2279","STATE MASTER","326299","UNKNOWN","ALL OTHER RUBBER PRODUCT MANUFACTURING."
"110000345234","AIRS/AFS","3716900009","AIR MINOR","326299","PRIMARY","ALL OTHER RUBBER PRODUCT MANUFACTURING."
"110000345252","TRIS","27101TRCRP1690L","TRI REPORTER","331491","PRIMARY","NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING."
"110000345270","TRIS","27102JHNSN2701W","TRI REPORTER","335911","UNKNOWN","STORAGE BATTERY MANUFACTURING."
"110000345270","OSHA-OIS","318002870","OSHA ESTABLISHMENT","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345270","TRIS","27102JHNSN2701W","TRI REPORTER","335912","PRIMARY","PRIMARY BATTERY MANUFACTURING."
"110000345270","AIRS/AFS","3706700725","AIR SYNTHETIC MINOR","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345270","AIR","NCFCO0003706700725","AIR SYNTHETIC MINOR","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345270","OSHA-OIS","317984300","OSHA ESTABLISHMENT","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345270","OSHA-OIS","317553220","OSHA ESTABLISHMENT","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345270","OSHA-OIS","317944296","OSHA ESTABLISHMENT","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345270","RCRAINFO","NCD000770487","LQG","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345270","EIS","8049511","AIR SYNTHETIC MINOR","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345305","AIRS/AFS","3706700082","AIR SYNTHETIC MINOR","313311","PRIMARY","BROADWOVEN FABRIC FINISHING MILLS."
"110000345305","EIS","8393811","AIR SYNTHETIC MINOR","3133","PRIMARY","TEXTILE AND FABRIC FINISHING AND FABRIC COATING MILLS"
"110000345305","TRIS","27103MCRFB3801K","TRI REPORTER","314999","PRIMARY","ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS."
"110000345305","AIR","NCFCO0003706700082","AIR SYNTHETIC MINOR","313311","PRIMARY","BROADWOVEN FABRIC FINISHING MILLS."
"110000345305","RCRAINFO","NCD083634949","SQG","314999","PRIMARY","ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS."
"110000345314","AIR","NCFCO0003706700428","AIR MINOR","336360","PRIMARY","MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING."
"110000345314","AIRS/AFS","3706700428","AIR MINOR","336360","PRIMARY","MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING."
"110000345314","EIS","9348311","AIR MINOR","33641","PRIMARY","AEROSPACE PRODUCT AND PARTS MANUFACTURING"
"110000345314","RCRAINFO","NCD060302577","LQG","336413","PRIMARY","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING."
"110000345314","RCRAINFO","NCD060302577","TSD","336413","PRIMARY","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING."
"110000345314","OSHA-OIS","316975663","OSHA ESTABLISHMENT","336360","PRIMARY","MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING."
"110000345314","TRIS","27105BRNSR1455F","TRI REPORTER","336360","PRIMARY","MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING."
"110000345323","RCRAINFO","NCD024895864","UNSPECIFIED UNIVERSE","33251","PRIMARY","HARDWARE MANUFACTURING"
"110000345323","AIRS/AFS","3706700436","AIR MINOR","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345323","RCRAINFO","NCD024895864","UNSPECIFIED UNIVERSE","332813","SECONDARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345323","EIS","15656411","AIR MINOR","332510","PRIMARY","HARDWARE MANUFACTURING."
"110000345323","OSHA-OIS","316978972","OSHA ESTABLISHMENT","332510","PRIMARY","HARDWARE MANUFACTURING."
"110000345323","TRIS","27105LCNCN2941I","TRI REPORTER","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345323","AIR","NCFCO0003706700436","AIR MINOR","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345332","AIRS/AFS","3706700339","AIR MAJOR","312221","PRIMARY","CIGARETTE MANUFACTURING."
"110000345332","AIR","NCFCO0003706700339","AIR MAJOR","312221","PRIMARY","CIGARETTE MANUFACTURING."
"110000345341","OSHA-OIS","317174795","OSHA ESTABLISHMENT","325510","PRIMARY","PAINT AND COATING MANUFACTURING."
"110000345341","EIS","7245811","AIR SYNTHETIC MINOR","32551","PRIMARY","PAINT AND COATING MANUFACTURING"
"110000345341","AIRS/AFS","3706700746","AIR MINOR","325510","PRIMARY","PAINT AND COATING MANUFACTURING."
"110000345341","OSHA-OIS","316975556","OSHA ESTABLISHMENT","325510","PRIMARY","PAINT AND COATING MANUFACTURING."
"110000345341","AIR","NCFCO0003706700746","AIR MINOR","325510","PRIMARY","PAINT AND COATING MANUFACTURING."
"110000345341","RCRAINFO","NCD991278680","UNSPECIFIED UNIVERSE","32551","PRIMARY","PAINT AND COATING MANUFACTURING"
"110000345341","TRIS","27105SDLNP3950N","TRI REPORTER","325510","PRIMARY","PAINT AND COATING MANUFACTURING."
"110000345369","TRIS","27105THLNG1100F","TRI REPORTER","325910","PRIMARY","PRINTING INK MANUFACTURING."
"110000345387","AIR","NCFCO0003706700389","AIR SYNTHETIC MINOR","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345387","RCRAINFO","NCD003213030","UNSPECIFIED UNIVERSE","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345387","AIRS/AFS","3706700389","AIR SYNTHETIC MINOR","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345387","TRIS","27107DGLSB500BA","TRI REPORTER","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345387","EIS","8054111","AIR SYNTHETIC MINOR","335911","PRIMARY","STORAGE BATTERY MANUFACTURING."
"110000345396","TRIS","27107GRDNR1664M","TRI REPORTER","325520","PRIMARY","ADHESIVE MANUFACTURING."
"110000345396","EIS","13721611","AIR SYNTHETIC MINOR","324122","PRIMARY","ASPHALT SHINGLE AND COATING MATERIALS MANUFACTURING."
"110000345403","TRIS","27107MPNCX3600G","TRI REPORTER","334417","PRIMARY","ELECTRONIC CONNECTOR MANUFACTURING."
"110000345403","RCRAINFO","NCD039252929","SQG","336413","PRIMARY","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING."
"110000345412","TRIS","27107MPNCB3190C","TRI REPORTER","334417","PRIMARY","ELECTRONIC CONNECTOR MANUFACTURING."
"110000345421","OSHA-OIS","318000239","OSHA ESTABLISHMENT","325188","PRIMARY","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000345421","RCRAINFO","NCR000136556","SQG","32518","PRIMARY","OTHER BASIC INORGANIC CHEMICAL MANUFACTURING"
"110000345421","AIR","NCFCO0003706700883","AIR MINOR","325188","PRIMARY","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000345421","AIRS/AFS","3706700883","AIR MINOR","325188","PRIMARY","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000345430","RMP","100000102097","RMP REPORTER","331315","UNKNOWN","ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING."
"110000345430","RMP","100000102097","RMP REPORTER","332999","UNKNOWN","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING."
"110000345449","EIS","8054211","AIR EMISSIONS CLASSIFICATION UNKNOWN","332510","PRIMARY","HARDWARE MANUFACTURING."
"110000345449","RCRAINFO","NCD003232055","UNSPECIFIED UNIVERSE","33251","PRIMARY","HARDWARE MANUFACTURING"
"110000345449","AIR","NCFCO0003706700192","AIR MINOR","332510","PRIMARY","HARDWARE MANUFACTURING."
"110000345449","TRIS","27107STHRN535EC","TRI REPORTER","332510","PRIMARY","HARDWARE MANUFACTURING."
"110000345449","AIRS/AFS","3706700192","AIR MINOR","332510","PRIMARY","HARDWARE MANUFACTURING."
"110000345458","OSHA-OIS","316678291","OSHA ESTABLISHMENT","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000345458","AIR","NCFCO0003706700682","AIR MAJOR","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000345458","EIS","8047311","CRITERIA AIR POLLUTANT MAJOR","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000345458","RCRAINFO","NCD000827493","SQG","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000345458","AIRS/AFS","3706700682","AIR MAJOR","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000345458","TRIS","27107STRHC4000O","TRI REPORTER","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000345467","NC-FITS","37409","STATE MASTER","332813","UNKNOWN","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345467","EIS","7245711","AIR MINOR","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345467","AIRS/AFS","3706700680","AIR MINOR","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345467","TRIS","27108STRTF807SO","TRI REPORTER","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345467","RCRAINFO","NCR000158451","SQG","81232","PRIMARY","DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED) "
"110000345467","AIR","NCFCO0003706700680","AIR MINOR","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345467","RCRAINFO","NCD053487765","UNSPECIFIED UNIVERSE","332813","PRIMARY","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING."
"110000345485","TRIS","27115DRYFR2221P","TRI REPORTER","311520","SECONDARY","ICE CREAM AND FROZEN DESSERT MANUFACTURING."
"110000345485","TRIS","27115DRYFR2221P","TRI REPORTER","311511","PRIMARY","FLUID MILK MANUFACTURING."
"110000345485","RMP","100000014799","RMP REPORTER","311511","UNKNOWN","FLUID MILK MANUFACTURING."
"110000345485","RMP","100000014799","RMP REPORTER","31152","UNKNOWN","ICE CREAM AND FROZEN DESSERT MANUFACTURING"
"110000345494","AIRS/AFS","3715100139","AIR MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345494","TRIS","27203BHPNL230WE","TRI REPORTER","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345494","EIS","7840611","AIR MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345494","AIR","NC0000003707600139","AIR MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345494","RCRAINFO","NCD982085789","OTHER HAZARDOUS WASTE ACTIVITIES","337215","PRIMARY","SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING."
"110000345494","NC-FITS","2254","STATE MASTER","337122","UNKNOWN","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000345500","TRIS","27203BLCKD1758S","TRI REPORTER","335211","PRIMARY","ELECTRIC HOUSEWARES AND HOUSEHOLD FAN MANUFACTURING."
"110000345500","AIRS/AFS","3715100047","AIR MAJOR","335211","PRIMARY","ELECTRIC HOUSEWARES AND HOUSEHOLD FAN MANUFACTURING."
"110000345500","RCRAINFO","NCD003236437","UNSPECIFIED UNIVERSE","335211","PRIMARY","ELECTRIC HOUSEWARES AND HOUSEHOLD FAN MANUFACTURING."
"110000345519","AIRS/AFS","3715100053","AIR MAJOR","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000345519","EIS","7828711","CRITERIA AIR POLLUTANT MAJOR","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000345519","AIR","NC0000003707600053","AIR MAJOR","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000345519","NC-FITS","4539","STATE MASTER","326211","UNKNOWN","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000345519","TRIS","27203LVRRB408TE","TRI REPORTER","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000345528","AIR","NC0000003707600243","AIR MINOR","326150","PRIMARY","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING."
"110000345528","AIRS/AFS","3715100243","AIR MINOR","326150","PRIMARY","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING."
"110000345528","TRIS","27203PRSTG2206D","TRI REPORTER","326150","PRIMARY","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING."
"110000345528","RMP","100000101301","RMP REPORTER","32615","UNKNOWN","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING"
"110000345528","EIS","9259611","AIR MINOR","32615","PRIMARY","URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING"
"110000345528","RCRAINFO","NCD980798557","SQG","33999","PRIMARY","ALL OTHER MISCELLANEOUS MANUFACTURING"
"110000345546","AIRS/AFS","3715100239","AIR MINOR","332510","PRIMARY","HARDWARE MANUFACTURING."
"110000345546","RCRAINFO","NCD980728901","SQG","333515","PRIMARY","CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING."
"110000345546","TRIS","27204CLVLN201YZ","TRI REPORTER","333515","PRIMARY","CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING."
"110000345546","NC-FITS","3427","STATE MASTER","333512","UNKNOWN","MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING."
"110000345546","OSHA-OIS","316849090","OSHA ESTABLISHMENT","333515","PRIMARY","CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING."
"110000345555","RCRAINFO","NCP071807030","UNSPECIFIED UNIVERSE","42471","PRIMARY","PETROLEUM BULK STATIONS AND TERMINALS"
"110000345555","TRIS","27204PGHLC701MC","TRI REPORTER","424710","PRIMARY","PETROLEUM BULK STATIONS AND TERMINALS."
"110000345564","RCRAINFO","NCD000822957","SQG","335912","PRIMARY","PRIMARY BATTERY MANUFACTURING."
"110000345564","TRIS","27204VRDYB419AR","TRI REPORTER","335912","PRIMARY","PRIMARY BATTERY MANUFACTURING."
"110000345564","AIRS/AFS","3715100112","AIR SYNTHETIC MINOR","335912","PRIMARY","PRIMARY BATTERY MANUFACTURING."
"110000345564","NC-FITS","2250","STATE MASTER","335912","UNKNOWN","PRIMARY BATTERY MANUFACTURING."
"110000345564","AIR","NC0000003707600112","AIR SYNTHETIC MINOR","335912","PRIMARY","PRIMARY BATTERY MANUFACTURING."
"110000345564","EIS","7842411","AIR SYNTHETIC MINOR","335912","PRIMARY","PRIMARY BATTERY MANUFACTURING."
"110000345573","NC-FITS","3841","STATE MASTER","331511","UNKNOWN","IRON FOUNDRIES."
"110000345573","OSHA-OIS","315553719","OSHA ESTABLISHMENT","331511","PRIMARY","IRON FOUNDRIES."
"110000345573","OSHA-OIS","318000395","OSHA ESTABLISHMENT","331511","PRIMARY","IRON FOUNDRIES."
